"REGION","AGE","SEX","ETHNICITY","EDLEVEL","EDGRADE","WORKED"
3,26,2,22,3,6,2
3,26,1,22,6,3,1
3,22,1,22,4,3,1
3,21,1,22,8,3,2
3,35,1,22,4,3,1
3,30,2,22,4,1,1
3,30,1,22,NA,NA,1
3,20,2,22,3,3,1
3,25,1,22,4,3,1
3,29,2,72,4,3,1
3,39,1,6,5,4,1
3,38,2,14,5,4,1
3,35,1,22,4,3,1
3,28,1,22,4,3,1
3,24,2,22,3,6,1
3,26,1,22,NA,NA,1
3,24,2,22,NA,NA,1
3,22,1,22,4,3,1
3,21,2,22,4,3,2
3,40,1,22,3,1,1
3,37,2,22,3,2,2
3,38,1,22,3,5,1
3,21,2,22,6,3,1
3,46,2,22,9,2,1
3,85,2,22,NA,NA,1
3,50,2,10,9,4,1
3,50,1,22,5,4,1
3,42,2,22,3,2,1
3,19,1,22,6,0,2
3,55,1,22,5,0,1
3,40,2,22,3,4,1
3,30,1,30,3,2,2
3,29,2,30,NA,NA,2
3,32,1,14,6,1,1
3,30,2,14,4,1,1
3,28,1,14,3,4,1
3,30,2,14,NA,NA,1
3,41,1,8,5,4,1
3,34,2,22,4,2,1
3,25,2,22,3,2,1
3,32,1,30,4,3,1
3,55,2,21,3,1,1
3,37,1,30,NA,NA,1
3,20,2,97,NA,NA,2
3,54,1,15,5,4,1
3,50,1,64,10,4,1
3,47,1,30,5,4,1
3,47,2,30,3,0,1
3,36,2,22,3,3,1
3,25,2,22,3,2,1
3,37,1,22,NA,NA,1
3,34,2,22,3,2,1
3,34,1,8,6,3,1
3,29,2,8,6,3,1
3,45,1,22,5,4,1
3,38,2,30,NA,NA,2
3,36,1,30,6,3,1
3,32,2,30,4,3,2
3,30,1,97,9,2,1
3,23,2,30,3,2,1
3,22,1,30,3,4,1
3,22,2,14,4,3,1
3,52,1,30,11,3,1
3,39,2,30,9,3,1
3,31,2,14,4,3,1
3,29,1,22,3,0,2
3,27,2,30,NA,NA,2
3,60,2,30,3,2,1
3,35,1,22,5,1,1
3,29,2,22,3,4,2
3,35,1,22,3,1,1
3,31,2,22,3,2,1
3,43,1,30,7,3,1
3,33,2,30,4,3,1
3,45,1,30,5,4,1
3,24,2,30,NA,NA,1
3,29,2,30,3,1,1
3,25,2,30,3,1,1
3,44,2,30,3,5,1
3,21,2,22,4,0,1
3,42,1,30,8,4,1
3,38,2,30,5,4,1
3,21,2,8,4,3,1
3,27,2,4,4,3,1
3,26,2,8,4,3,1
3,81,1,22,NA,NA,2
3,45,2,22,5,4,1
3,20,1,22,NA,NA,1
3,60,2,22,NA,NA,1
3,80,2,22,NA,NA,2
3,37,2,30,NA,NA,2
3,20,2,22,4,3,1
3,37,1,30,5,4,1
3,27,2,30,NA,NA,1
3,32,1,30,3,2,1
3,28,2,14,4,3,1
3,66,1,30,5,4,2
3,60,2,30,NA,NA,1
3,21,1,30,4,3,2
3,22,1,30,4,3,1
3,34,1,30,4,3,1
3,28,2,22,NA,NA,1
3,28,2,30,4,3,1
3,35,1,22,3,2,2
3,54,2,22,3,3,2
3,67,1,22,5,4,1
3,30,2,22,4,3,2
3,21,2,30,3,0,2
3,58,1,30,5,3,1
3,39,2,22,NA,NA,1
3,41,1,22,NA,NA,1
3,20,1,22,4,0,2
3,64,2,22,8,3,1
3,26,1,22,8,4,1
3,24,1,22,4,3,1
3,22,2,22,3,5,1
3,24,1,22,3,5,1
3,31,1,30,4,3,1
3,27,2,30,4,3,2
3,33,1,30,NA,NA,1
3,47,1,30,11,1,1
3,27,2,30,NA,NA,2
3,22,2,1,3,3,2
3,40,2,30,3,5,1
3,48,1,30,NA,NA,2
3,74,2,30,5,3,2
3,55,1,10,7,5,1
3,48,2,10,5,4,1
3,24,1,10,10,2,2
3,20,1,10,4,3,2
3,20,2,30,4,1,2
3,28,2,6,NA,NA,1
3,30,1,21,6,3,1
3,52,2,21,7,5,1
3,39,1,21,6,3,1
3,35,1,21,6,3,1
3,22,1,21,6,3,1
3,19,2,21,4,2,2
3,28,1,22,10,0,2
3,34,2,30,8,4,1
3,43,1,22,5,1,1
3,30,1,22,3,4,1
3,24,2,22,NA,NA,1
3,22,1,30,6,3,1
3,24,1,30,6,3,1
3,27,2,4,4,3,1
3,20,2,14,3,5,1
3,23,1,21,6,2,1
3,30,1,14,NA,NA,2
3,25,2,14,NA,NA,2
3,29,1,6,8,4,1
3,26,2,14,3,5,1
3,31,2,30,9,3,1
3,69,1,30,3,6,2
3,22,1,30,9,0,1
3,40,1,22,NA,NA,1
3,45,1,22,NA,NA,1
3,31,2,22,NA,NA,1
3,45,2,30,3,5,1
3,32,1,30,3,6,1
3,81,2,30,8,2,1
3,28,2,8,4,3,1
3,46,1,22,7,5,1
3,44,2,22,5,4,1
3,56,1,14,5,4,1
3,46,2,22,3,3,2
3,24,2,22,6,3,1
3,22,2,22,6,3,1
3,40,2,22,5,4,1
